transaction_id,user_id,card_type,amount_usd,rate_ngn,timestamp,is_fraud
41,21,Steam,222.59,517.17,2025-01-02 16:00:00,0
42,9,Steam,205.27,511.81,2025-01-02 17:00:00,0
43,39,Google,311.77,485.82,2025-01-02 18:00:00,0
44,18,Steam,321.2,461.36,2025-01-02 19:00:00,0
45,4,Google,32.2,517.16,2025-01-02 20:00:00,0
46,25,iTunes,193.56,502.03,2025-01-02 21:00:00,0
47,14,Google,,527.23,2025-01-02 22:00:00,0
48,9,Google,256.54,502.02,2025-01-02 23:00:00,0
49,26,Steam,429.68,535.22,2025-01-03 00:00:00,0
50,2,Steam,332.76,505.19,2025-01-03 01:00:00,0
51,20,Amazon,89.84,506.09,2025-01-03 02:00:00,0
52,28,Amazon,44.58,537.67,2025-01-03 03:00:00,0
53,47,iTunes,324.79,490.35,2025-01-03 04:00:00,0
54,7,Amazon,22.99,463.4,2025-01-03 05:00:00,0
55,44,Google,297.03,452.88,2025-01-03 06:00:00,0
56,8,Steam,470.71,525.51,2025-01-03 07:00:00,0
57,47,Amazon,291.98,512.03,2025-01-03 08:00:00,0
58,35,Amazon,200.2,520.41,2025-01-03 09:00:00,0
59,14,iTunes,325.21,471.3,2025-01-03 10:00:00,0
60,17,iTunes,234.54,463.64,2025-01-03 11:00:00,0
61,36,Google,277.35,451.45,2025-01-03 12:00:00,0
62,40,Steam,471.32,485.06,2025-01-03 13:00:00,0
63,4,iTunes,199.19,508.99,2025-01-03 14:00:00,0
64,2,Amazon,480.98,489.22,2025-01-03 15:00:00,0
65,6,Steam,453.62,493.75,2025-01-03 16:00:00,0
66,42,Steam,105.94,540.42,2025-01-03 17:00:00,0
67,4,Amazon,43.99,484.83,2025-01-03 18:00:00,0
68,29,iTunes,59.38,501.4,2025-01-03 19:00:00,0
69,18,Amazon,18.93,528.37,2025-01-03 20:00:00,0
70,26,Steam,56.28,489.65,2025-01-03 21:00:00,0
71,44,Netflix,344.67,512.21,2025-01-03 22:00:00,0
72,34,Netflix,44.88,536.24,2025-01-03 23:00:00,0
73,10,Google,166.3,544.95,2025-01-04 00:00:00,0
74,36,Amazon,423.99,464.71,2025-01-04 01:00:00,0
75,14,Amazon,21.4,542.66,2025-01-04 02:00:00,0
76,31,Google,409.09,499.21,2025-01-04 03:00:00,0
77,48,Google,148.11,475.82,2025-01-04 04:00:00,0
78,15,Google,67.9,495.91,2025-01-04 05:00:00,0
79,8,Steam,351.4,548.0,2025-01-04 06:00:00,0
80,14,Amazon,318.18,499.26,2025-01-04 07:00:00,0
81,23,Steam,439.96,482.88,2025-01-04 08:00:00,0
82,40,Google,,513.34,2025-01-04 09:00:00,0
83,21,Amazon,403.71,474.01,2025-01-04 10:00:00,0
84,16,Steam,148.2,457.59,2025-01-04 11:00:00,0
85,45,Steam,96.95,462.89,2025-01-04 12:00:00,0
86,18,Google,377.8,462.8,2025-01-04 13:00:00,0
87,47,Amazon,405.35,465.19,2025-01-04 14:00:00,0
88,24,Google,495.35,463.88,2025-01-04 15:00:00,0
89,26,Amazon,212.18,514.09,2025-01-04 16:00:00,0
90,25,Netflix,192.29,468.19,2025-01-04 17:00:00,0
91,45,iTunes,390.44,484.57,2025-01-04 18:00:00,0
92,41,iTunes,176.99,539.68,2025-01-04 19:00:00,0
93,29,iTunes,466.07,497.4,2025-01-04 20:00:00,0
94,15,Google,430.62,516.76,2025-01-04 21:00:00,0
95,45,Netflix,220.21,467.23,2025-01-04 22:00:00,0
96,1,Amazon,377.93,469.23,2025-01-04 23:00:00,0
97,25,Steam,379.73,454.09,2025-01-05 00:00:00,0
98,7,Amazon,60.53,466.89,2025-01-05 01:00:00,0
99,9,Steam,452.25,477.86,2025-01-05 02:00:00,0
100,24,Amazon,257.57,467.7,2025-01-05 03:00:00,0
101,1,Netflix,414.96,458.87,2025-01-05 04:00:00,0
102,44,Steam,166.82,462.06,2025-01-05 05:00:00,0
103,8,Google,448.81,496.08,2025-01-05 06:00:00,0
104,24,Amazon,200.71,470.63,2025-01-05 07:00:00,0
105,11,Amazon,15.31,486.43,2025-01-05 08:00:00,0
106,17,Steam,453.64,500.34,2025-01-05 09:00:00,0
107,8,Google,54.73,519.04,2025-01-05 10:00:00,0
108,35,Google,166.46,453.93,2025-01-05 11:00:00,1
109,35,Netflix,475.53,529.94,2025-01-05 12:00:00,0
110,33,Google,475.8,512.79,2025-01-05 13:00:00,0
111,5,Google,290.98,458.18,2025-01-05 14:00:00,0
112,42,Google,319.6,537.36,2025-01-05 15:00:00,0
113,39,iTunes,229.74,542.09,2025-01-05 16:00:00,0
114,41,Netflix,153.67,456.11,2025-01-05 17:00:00,0
115,28,Amazon,171.05,477.69,2025-01-05 18:00:00,0
116,7,Steam,339.53,530.62,2025-01-05 19:00:00,0
117,9,Amazon,378.66,524.83,2025-01-05 20:00:00,0
118,8,Netflix,397.87,468.45,2025-01-05 21:00:00,0
119,12,Steam,396.91,,2025-01-05 22:00:00,0
120,34,Netflix,54.69,487.05,2025-01-05 23:00:00,0
121,33,Google,252.27,498.45,2025-01-06 00:00:00,0
122,48,Steam,38.2,511.83,2025-01-06 01:00:00,0
123,23,Google,279.27,486.89,2025-01-06 02:00:00,0
124,24,Amazon,226.35,496.25,2025-01-06 03:00:00,0
125,37,Amazon,444.98,524.75,2025-01-06 04:00:00,0
126,35,Steam,181.95,453.67,2025-01-06 05:00:00,0
127,44,Steam,67.36,475.24,2025-01-06 06:00:00,0
128,40,Netflix,80.07,521.33,2025-01-06 07:00:00,0
129,22,Netflix,,539.52,2025-01-06 08:00:00,0
130,27,Google,312.93,,2025-01-06 09:00:00,0
131,35,Steam,59.55,503.21,2025-01-06 10:00:00,0
132,1,Amazon,51.21,460.72,2025-01-06 11:00:00,0
133,35,Netflix,353.47,494.74,2025-01-06 12:00:00,0
134,37,Netflix,45.65,503.26,2025-01-06 13:00:00,0
135,47,Amazon,412.71,474.25,2025-01-06 14:00:00,0
136,14,Netflix,356.06,476.92,2025-01-06 15:00:00,0
137,3,Google,49.86,487.73,2025-01-06 16:00:00,0
138,1,Steam,51.57,452.01,2025-01-06 17:00:00,0
139,5,Amazon,493.45,482.21,2025-01-06 18:00:00,0
140,26,Steam,193.39,,2025-01-06 19:00:00,0
141,14,Netflix,191.61,482.75,2025-01-06 20:00:00,1
142,39,Netflix,408.27,461.98,2025-01-06 21:00:00,0
143,27,Amazon,474.15,539.05,2025-01-06 22:00:00,0
144,9,Google,493.14,509.36,2025-01-06 23:00:00,0
145,15,iTunes,379.16,517.91,2025-01-07 00:00:00,1
146,15,Amazon,194.37,528.92,2025-01-07 01:00:00,0
147,26,iTunes,50.92,499.84,2025-01-07 02:00:00,0
148,42,iTunes,,458.69,2025-01-07 03:00:00,0
149,13,Google,283.62,503.71,2025-01-07 04:00:00,0
150,32,iTunes,217.87,508.68,2025-01-07 05:00:00,0
151,39,iTunes,454.11,524.54,2025-01-07 06:00:00,0
152,49,Google,64.49,493.17,2025-01-07 07:00:00,0
153,32,iTunes,251.39,462.76,2025-01-07 08:00:00,0
154,4,iTunes,15.56,478.38,2025-01-07 09:00:00,0
155,30,iTunes,239.64,486.31,2025-01-07 10:00:00,0
156,37,Amazon,37.59,514.59,2025-01-07 11:00:00,0
157,23,Amazon,68.22,507.08,2025-01-07 12:00:00,0
158,39,Amazon,67.59,485.61,2025-01-07 13:00:00,0
159,39,Google,328.11,548.65,2025-01-07 14:00:00,0
160,15,Netflix,375.56,510.58,2025-01-07 15:00:00,0
161,43,iTunes,295.85,473.72,2025-01-07 16:00:00,0
162,29,iTunes,481.46,460.18,2025-01-07 17:00:00,0
163,36,Google,193.69,465.29,2025-01-07 18:00:00,0
164,13,iTunes,150.0,474.6,2025-01-07 19:00:00,0
165,32,Amazon,435.61,466.07,2025-01-07 20:00:00,0
166,7,Netflix,119.56,468.66,2025-01-07 21:00:00,0
167,22,Steam,481.98,478.51,2025-01-07 22:00:00,0
168,28,iTunes,15.96,467.34,2025-01-07 23:00:00,0
169,2,Amazon,485.24,539.68,2025-01-08 00:00:00,0
170,42,Steam,31.15,458.02,2025-01-08 01:00:00,0
171,45,Netflix,446.66,502.45,2025-01-08 02:00:00,0
172,6,Steam,268.57,491.04,2025-01-08 03:00:00,0
173,28,Amazon,496.55,548.24,2025-01-08 04:00:00,0
174,28,Steam,46.16,461.2,2025-01-08 05:00:00,0
175,44,Google,281.39,489.79,2025-01-08 06:00:00,0
176,44,Steam,484.96,546.95,2025-01-08 07:00:00,0
177,20,iTunes,266.32,536.55,2025-01-08 08:00:00,0
178,30,iTunes,318.41,531.71,2025-01-08 09:00:00,0
179,11,Google,350.92,475.79,2025-01-08 10:00:00,0
180,28,Amazon,232.73,467.09,2025-01-08 11:00:00,0
181,25,iTunes,317.5,516.86,2025-01-08 12:00:00,0
182,39,Netflix,296.31,542.94,2025-01-08 13:00:00,0
183,33,iTunes,451.57,505.68,2025-01-08 14:00:00,0
184,1,iTunes,32.27,507.16,2025-01-08 15:00:00,0
185,27,Amazon,147.67,478.0,2025-01-08 16:00:00,0
186,13,Steam,475.7,526.95,2025-01-08 17:00:00,0
187,41,iTunes,446.23,468.7,2025-01-08 18:00:00,0
188,3,Google,,482.37,2025-01-08 19:00:00,0
189,39,Steam,313.86,492.54,2025-01-08 20:00:00,0
190,6,Netflix,145.92,500.76,2025-01-08 21:00:00,0
191,8,Amazon,102.18,474.24,2025-01-08 22:00:00,0
192,27,Netflix,237.21,461.48,2025-01-08 23:00:00,0
193,9,Steam,183.14,511.06,2025-01-09 00:00:00,0
194,37,Steam,295.99,478.86,2025-01-09 01:00:00,0
195,33,Steam,48.09,,2025-01-09 02:00:00,0
196,42,Netflix,487.45,465.44,2025-01-09 03:00:00,0
197,44,Steam,,498.11,2025-01-09 04:00:00,0
198,24,Netflix,352.1,503.26,2025-01-09 05:00:00,0
199,15,Steam,272.69,455.18,2025-01-09 06:00:00,0
200,32,Google,161.67,483.66,2025-01-09 07:00:00,0
